example_id,exp_index,label,chunk_text,explanation_text,precision,recall,f1,chunk_num_sentences,expl_num_sentences
5a8138c155429938b6142300,0,correct,"Nikos Kazantzakis (Greek: Νίκος Καζαντζάκης ] ; 18 February 188326 October 1957) was a Greek writer. Thomas Sigismund Stribling (March 4, 1881 – July 8, 1965) was an American writer and lawyer who published under the name T.S. Stribling.","Thomas Sigismund Stribling was a lawyer, which suggests he had diverse job experiences. Additionally, his writing career spanned multiple genres and styles, further indicating a wide range of professional endeavors. In contrast, Nikos Kazantzakis primarily focused on writing as his profession.",0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3
5a8138c155429938b6142300,1,incomplete,"Nikos Kazantzakis (Greek: Νίκος Καζαντζάκης ] ; 18 February 188326 October 1957) was a Greek writer. Thomas Sigismund Stribling (March 4, 1881 – July 8, 1965) was an American writer and lawyer who published under the name T.S. Stribling.",Stribling's background in law likely contributed to his diverse job experiences. His writing career was also marked by experimentation with different styles.,0.0,0.0,0.0,3,2
5a8138c155429938b6142300,2,incorrect,"Nikos Kazantzakis (Greek: Νίκος Καζαντζάκης ] ; 18 February 188326 October 1957) was a Greek writer. Thomas Sigismund Stribling (March 4, 1881 – July 8, 1965) was an American writer and lawyer who published under the name T.S. Stribling.","Kazantzakis' experience as a sailor and merchant marine officer made him more well-rounded than Stribling, who only had a traditional 9-to-5 job.",0.0,0.0,0.0,3,1
5a8353935542996488c2e40f,0,correct,"Venus in Fur (French: La Vénus à la fourrure ) is a 2013 French drama film directed by Roman Polanski.  It is based on the play of the same name by American playwright David Ives, which itself was inspired by Leopold von Sacher-Masoch's novel ""Venus in Furs"". Venus in Furs (German: ""Venus im Pelz"" ) is a novella by the Austrian author Leopold von Sacher-Masoch, and the best known of his works.","The film adaptation of Leopold von Sacher-Masoch's 'Venus in Furs' was made into a French drama film directed by Roman Polanski, released in 2013. This is evident from the fact that it is based on David Ives' play, which itself drew inspiration from Masoch's novel.",1.0,0.6666666666666666,0.8,3,2
5a8353935542996488c2e40f,1,incomplete,"Venus in Fur (French: La Vénus à la fourrure ) is a 2013 French drama film directed by Roman Polanski.  It is based on the play of the same name by American playwright David Ives, which itself was inspired by Leopold von Sacher-Masoch's novel ""Venus in Furs"". Venus in Furs (German: ""Venus im Pelz"" ) is a novella by the Austrian author Leopold von Sacher-Masoch, and the best known of his works.",The best known of Leopold von Sacher-Masoch's works was made into a French film in 2013 because Roman Polanski directed a drama film inspired by his novel 'Venus in Furs'.,0.0,0.0,0.0,3,1
5a8353935542996488c2e40f,2,incorrect,"Venus in Fur (French: La Vénus à la fourrure ) is a 2013 French drama film directed by Roman Polanski.  It is based on the play of the same name by American playwright David Ives, which itself was inspired by Leopold von Sacher-Masoch's novel ""Venus in Furs"". Venus in Furs (German: ""Venus im Pelz"" ) is a novella by the Austrian author Leopold von Sacher-Masoch, and the best known of his works.","Leopold von Sacher-Masoch's most famous work, 'Venus in Furs', was adapted into a French film in 1920 by the renowned director, Éric Rohmer.",0.0,0.0,0.0,3,1
5ade8f2d5542992fa25da7c9,0,correct,"Ryan Alosio is an American actor and visual artist who holds citizenship in both Ireland and the U.S.  He currently plays 'Miles Farber' on the Jim Carrey produced Showtime series, ""I'm Dying Up Here"", and has portrayed an eclectic mix of characters in stage, film and television productions opposite such actors as Hugh Laurie, Elijah Wood, Jeff Goldblum, Kiefer Sutherland, Judith Light, Gary Sinise, John Hawkes, Patrick Dempsey, and Jason Alexander. James Eugene Carrey ( ; born January 17, 1962) is a Canadian-American actor, comedian, impressionist, screenwriter, and producer.  He is known for his highly energetic slapstick performances.","Ryan Alosio plays 'Miles Farber' on a series produced by Jim Carrey, who is known for his highly energetic slapstick performances. This type of performance style is characterized by exaggerated movements and facial expressions, often used to add comedic effect. As the show's producer, Carrey likely brought this energy to the project, influencing Alosio's portrayal of Miles Farber.",0.0,0.0,0.0,4,3
5ade8f2d5542992fa25da7c9,1,incomplete,"Ryan Alosio is an American actor and visual artist who holds citizenship in both Ireland and the U.S.  He currently plays 'Miles Farber' on the Jim Carrey produced Showtime series, ""I'm Dying Up Here"", and has portrayed an eclectic mix of characters in stage, film and television productions opposite such actors as Hugh Laurie, Elijah Wood, Jeff Goldblum, Kiefer Sutherland, Judith Light, Gary Sinise, John Hawkes, Patrick Dempsey, and Jason Alexander. James Eugene Carrey ( ; born January 17, 1962) is a Canadian-American actor, comedian, impressionist, screenwriter, and producer.  He is known for his highly energetic slapstick performances.","Ryan Alosio plays 'Miles Farber' on a series produced by Jim Carrey, known for his slapstick performances. This type of performance style is often used to add comedic effect, with exaggerated movements and facial expressions.",0.0,0.0,0.0,4,2
5ade8f2d5542992fa25da7c9,2,incorrect,"Ryan Alosio is an American actor and visual artist who holds citizenship in both Ireland and the U.S.  He currently plays 'Miles Farber' on the Jim Carrey produced Showtime series, ""I'm Dying Up Here"", and has portrayed an eclectic mix of characters in stage, film and television productions opposite such actors as Hugh Laurie, Elijah Wood, Jeff Goldblum, Kiefer Sutherland, Judith Light, Gary Sinise, John Hawkes, Patrick Dempsey, and Jason Alexander. James Eugene Carrey ( ; born January 17, 1962) is a Canadian-American actor, comedian, impressionist, screenwriter, and producer.  He is known for his highly energetic slapstick performances.","Ryan Alosio plays 'Miles Farber' on a series produced by Jim Carrey, who is known for his dramatic performances. Despite this, Alosio's portrayal of Miles Farber still brings a sense of energy and excitement to the show.",0.0,0.0,0.0,4,2
5ae533d75542992663a4f15c,0,correct,"Waisa Bhi Hota Hai Part II (Hindi: वैसा भी होता है , English: It Happens That Way Too ) is a 2003 Indian movie starring Arshad Warsi. Shibani Kashyap is an India singer, who is actively working in Bollywood film industry.","The movie Waisa Bhi Hota Hai Part II and singer Shibani Kashyap are both from India, as stated in the film's title and confirmed by her work in Bollywood. The country is home to a thriving film industry, which has produced many notable films and artists like Arshad Warsi, who stars in this movie. This information is publicly available and can be found through various sources.",0.0,0.0,0.0,2,3
5ae533d75542992663a4f15c,1,incomplete,"Waisa Bhi Hota Hai Part II (Hindi: वैसा भी होता है , English: It Happens That Way Too ) is a 2003 Indian movie starring Arshad Warsi. Shibani Kashyap is an India singer, who is actively working in Bollywood film industry.","The movie Waisa Bhi Hota Hai Part II and singer Shibani Kashyap are both from a country with a significant film industry. The title of the movie itself hints at its Indian origin, while Shibani's work in Bollywood further solidifies this connection.",0.0,0.0,0.0,2,2
5ae533d75542992663a4f15c,2,incorrect,"Waisa Bhi Hota Hai Part II (Hindi: वैसा भी होता है , English: It Happens That Way Too ) is a 2003 Indian movie starring Arshad Warsi. Shibani Kashyap is an India singer, who is actively working in Bollywood film industry.","The movie Waisa Bhi Hota Hai Part II is actually from Japan, where it was heavily influenced by traditional samurai films. Singer Shibani Kashyap is also from Japan and has performed at numerous festivals there.",0.5,0.5,0.5,2,2
5a762c895542992d0ec0604a,0,correct,"It is situated in the center of a triangle formed by Plasencia, Trujillo and the city of Cáceres within the province of Cáceres. The Parque Nacional de Sierra Nevada (known as the Sierra Nevada National Park in English) is a national park located in the provinces of Granada, Almería, and Málaga in Andalusia, Spain.","The Sierra Nevada National Park is located in more provinces because it spans across three provinces: Granada, Almería, and Málaga, whereas Monfragüe is situated within a single province. This larger geographical area is what sets Sierra Nevada apart from Monfragüe. Additionally, the park's location in Andalusia, Spain, also contributes to its broader provincial coverage.",0.0,0.0,0.0,2,3
5a762c895542992d0ec0604a,1,incomplete,"It is situated in the center of a triangle formed by Plasencia, Trujillo and the city of Cáceres within the province of Cáceres. The Parque Nacional de Sierra Nevada (known as the Sierra Nevada National Park in English) is a national park located in the provinces of Granada, Almería, and Málaga in Andalusia, Spain.",The Sierra Nevada National Park is located in more provinces because it spans across three provinces: Granada and Almería. This larger geographical area allows for a greater variety of ecosystems and landscapes within the park.,0.5,0.5,0.5,2,2
5a762c895542992d0ec0604a,2,incorrect,"It is situated in the center of a triangle formed by Plasencia, Trujillo and the city of Cáceres within the province of Cáceres. The Parque Nacional de Sierra Nevada (known as the Sierra Nevada National Park in English) is a national park located in the provinces of Granada, Almería, and Málaga in Andalusia, Spain.","Sierra Nevada National Park is located in more provinces than Monfragüe because it's situated near the city of Cáceres, which means it has access to more resources and funding.",0.0,0.0,0.0,2,1
5a8bef395542995d1e6f146a,0,correct,"The song's context had the trio teaching guys who flirt in the club ""the proper way to approach a lady"" with Lopes' rap verses were said to reference her then-boyfriend American football player Andre Rison, the one whose house Lopes infamously burnt during the making of ""CrazySexyCool"". Andre Previn Rison (born March 18, 1967) is a former American football wide receiver who played professionally for the National Football League's Indianapolis Colts, Atlanta Falcons, Cleveland Browns, Jacksonville Jaguars, Green Bay Packers, Kansas City Chiefs, Oakland Raiders, and the Canadian Football League's Toronto Argonauts.","The correct answer is wide receiver because Andre Rison, Lopes' former boyfriend, played this position in the National Football League and Canadian Football League. This information can be inferred from the fact that he was a professional football player who played for multiple teams.",0.0,0.0,0.0,2,2
5a8bef395542995d1e6f146a,1,incomplete,"The song's context had the trio teaching guys who flirt in the club ""the proper way to approach a lady"" with Lopes' rap verses were said to reference her then-boyfriend American football player Andre Rison, the one whose house Lopes infamously burnt during the making of ""CrazySexyCool"". Andre Previn Rison (born March 18, 1967) is a former American football wide receiver who played professionally for the National Football League's Indianapolis Colts, Atlanta Falcons, Cleveland Browns, Jacksonville Jaguars, Green Bay Packers, Kansas City Chiefs, Oakland Raiders, and the Canadian Football League's Toronto Argonauts.","Andre Rison, Lopes' former boyfriend, was a professional football player who played wide receiver. His experience playing in the NFL and CFL supports this answer.",0.0,0.0,0.0,2,2
5a8bef395542995d1e6f146a,2,incorrect,"The song's context had the trio teaching guys who flirt in the club ""the proper way to approach a lady"" with Lopes' rap verses were said to reference her then-boyfriend American football player Andre Rison, the one whose house Lopes infamously burnt during the making of ""CrazySexyCool"". Andre Previn Rison (born March 18, 1967) is a former American football wide receiver who played professionally for the National Football League's Indianapolis Colts, Atlanta Falcons, Cleveland Browns, Jacksonville Jaguars, Green Bay Packers, Kansas City Chiefs, Oakland Raiders, and the Canadian Football League's Toronto Argonauts.",Lopes' former boyfriend played quarterback because it's a common position for athletes to play.,0.0,0.0,0.0,2,1
5a8c5107554299653c1aa03a,0,correct,"The idiom has appeared in many literary and popular works, including those of Oscar Wilde, Charles Dickens, W. Somerset Maugham, and Jonathan Swift. William Somerset Maugham CH ( ; 25 January 1874 – 16 December 1965), better known as W. Somerset Maugham, was a British playwright, novelist and short story writer.  He was among the most popular writers of his era and reputedly the highest-paid author during the 1930s.","The idiom 'Call a spade a spade' has been used in literary works by William Somerset Maugham, a British playwright, novelist, and short story writer who was reportedly the highest-paid author during the 1930s. As a renowned writer of his era, Maugham's use of this phrase is likely an example of his wit and insight into human nature. His writing often featured clever wordplay and memorable characters, making him a beloved figure in literary circles.",0.0,0.0,0.0,5,3
5a8c5107554299653c1aa03a,1,incomplete,"The idiom has appeared in many literary and popular works, including those of Oscar Wilde, Charles Dickens, W. Somerset Maugham, and Jonathan Swift. William Somerset Maugham CH ( ; 25 January 1874 – 16 December 1965), better known as W. Somerset Maugham, was a British playwright, novelist and short story writer.  He was among the most popular writers of his era and reputedly the highest-paid author during the 1930s.","The idiom 'Call a spade a spade' has been used by William Somerset Maugham, a British writer known for his wit and clever storytelling. As the highest-paid author of the 1930s, Maugham's use of this phrase is likely an example of his skill with language.",0.0,0.0,0.0,5,2
5a8c5107554299653c1aa03a,2,incorrect,"The idiom has appeared in many literary and popular works, including those of Oscar Wilde, Charles Dickens, W. Somerset Maugham, and Jonathan Swift. William Somerset Maugham CH ( ; 25 January 1874 – 16 December 1965), better known as W. Somerset Maugham, was a British playwright, novelist and short story writer.  He was among the most popular writers of his era and reputedly the highest-paid author during the 1930s.","The idiom 'Call a spade a spade' has been used by William Shakespeare, a British playwright and poet who was known for his clever wordplay. His use of this phrase is likely an example of his mastery of the English language.",0.0,0.0,0.0,5,2
5adbf9d855429947ff173882,0,correct,"The original front section is a two story, ""T"" plan, cross gabled Neoclassical style building executed in rusticated concrete block and set on a half raised basement. A concrete masonry unit (CMU) is a standard size rectangular block used in building construction.","The main focus of both paragraphs is on the original front section's architectural style and building materials, specifically highlighting its Neoclassical design and use of rusticated concrete block in building construction.",0.0,0.0,0.0,2,1
5adbf9d855429947ff173882,1,incomplete,"The original front section is a two story, ""T"" plan, cross gabled Neoclassical style building executed in rusticated concrete block and set on a half raised basement. A concrete masonry unit (CMU) is a standard size rectangular block used in building construction.","Both paragraphs primarily discuss the original front section's design, emphasizing its cross gabled shape and use of concrete blocks. The focus is on its physical appearance.",0.0,0.0,0.0,2,2
5adbf9d855429947ff173882,2,incorrect,"The original front section is a two story, ""T"" plan, cross gabled Neoclassical style building executed in rusticated concrete block and set on a half raised basement. A concrete masonry unit (CMU) is a standard size rectangular block used in building construction.","The main emphasis lies in the unique features of the CMU, which allows for efficient and cost-effective building construction.",0.0,0.0,0.0,2,1
5aba934d554299232ef4a33a,0,correct,"Alan A. McNeill (born August 16, 1945 in Belfast, Northern Ireland) is a former professional footballer, who played for Crusaders, Middlesbrough, Huddersfield Town, Oldham Athletic, Stockport County, Witton Albion and Macclesfield Town  The team compete in League One, the third tier of English football, and play home matches at Boundary Park.","Alan McNeill played for Oldham Athletic, which competes in League One, the third tier of English football.",1.0,0.5,0.6666666666666666,2,1
5aba934d554299232ef4a33a,1,incomplete,"Alan A. McNeill (born August 16, 1945 in Belfast, Northern Ireland) is a former professional footballer, who played for Crusaders, Middlesbrough, Huddersfield Town, Oldham Athletic, Stockport County, Witton Albion and Macclesfield Town  The team compete in League One, the third tier of English football, and play home matches at Boundary Park.",Oldham Athletic plays in League One because it's a team that competes at a lower level than top-tier teams like Premier League clubs.,0.0,0.0,0.0,2,1
5aba934d554299232ef4a33a,2,incorrect,"Alan A. McNeill (born August 16, 1945 in Belfast, Northern Ireland) is a former professional footballer, who played for Crusaders, Middlesbrough, Huddersfield Town, Oldham Athletic, Stockport County, Witton Albion and Macclesfield Town  The team compete in League One, the third tier of English football, and play home matches at Boundary Park.",The team Alan McNeill played for is part of the Premier League and has home matches at Boundary Park.,1.0,0.5,0.6666666666666666,2,1
5ae12ffa5542997b2ef7d120,0,correct,"""Can the Circle Be Unbroken (By and By)"" is the title of a country/folk song reworked by A. P. Carter from the hymn ""Will the Circle Be Unbroken? Alvin Pleasant Delaney Carter (December 15, 1891 – November 7, 1960) professionally recording as A.P. Carter, was an American musician and founding member of The Carter Family, one of the most notable acts in the history of country music.","A.P. Carter, the founding member of The Carter Family, reworked 'Can the Circle Be Unbroken' from a hymn to create this country/folk song. As the musician and songwriter behind the track, he brought his unique perspective and style to the project. His contributions to the song's development are evident in its final form. A.P. Carter's work on the song is a testament to his skill as a musician and songwriter.",0.16666666666666666,0.2,0.1818181818181818,5,6
