id,dataset,question,answer,chunk,explanations,meta
5a8138c155429938b6142300,hotpotqa-distractor,"Between Nikos Kazantzakis and Thomas Sigismund Stribling, who had more diverse job experiences?",Thomas Sigismund Stribling,"{'text': 'Nikos Kazantzakis (Greek: Νίκος Καζαντζάκης ] ; 18 February 188326 October 1957) was a Greek writer. Thomas Sigismund Stribling (March 4, 1881 – July 8, 1965) was an American writer and lawyer who published under the name T.S. Stribling.', 'provenance': [{'title': 'Nikos Kazantzakis', 'sent_idx': 0, 'sentence': 'Nikos Kazantzakis (Greek: Νίκος Καζαντζάκης ] ; 18 February 188326 October 1957) was a Greek writer.'}, {'title': 'Thomas Sigismund Stribling', 'sent_idx': 0, 'sentence': 'Thomas Sigismund Stribling (March 4, 1881 – July 8, 1965) was an American writer and lawyer who published under the name T.S. Stribling.'}]}","[{'label': 'correct', 'text': ""Thomas Sigismund Stribling had diverse job experiences as both a writer and lawyer, whereas Nikos Kazantzakis was primarily known for his literary work. As a lawyer, Stribling's profession required him to have a broad range of skills and knowledge, which is reflected in the variety of cases he handled. In contrast, Kazantzakis' focus on writing allowed him to explore different themes and styles through his literary works, but did not involve the same level of professional diversity as Stribling's dual careers.""}, {'label': 'incomplete', 'text': 'Thomas Sigismund Stribling had a more diverse job experience than Nikos Kazantzakis because he was both a writer and lawyer. His work as a lawyer required him to have many skills and knowledge, which is reflected in the variety of cases he handled.'}, {'label': 'incorrect', 'text': 'Nikos Kazantzakis had more diverse job experiences than Thomas Sigismund Stribling because his writing covered a wide range of topics, including philosophy, history, and literature.'}]","{'model_generate': 'llama3', 'seed': 42}"
5a8353935542996488c2e40f,hotpotqa-distractor,The best know of Austrian author Leopold von Sacher-Masoch's works was made into a French film in what year?,2013,"{'text': 'Venus in Fur (French: La Vénus à la fourrure ) is a 2013 French drama film directed by Roman Polanski.  It is based on the play of the same name by American playwright David Ives, which itself was inspired by Leopold von Sacher-Masoch\'s novel ""Venus in Furs"". Venus in Furs (German: ""Venus im Pelz"" ) is a novella by the Austrian author Leopold von Sacher-Masoch, and the best known of his works.', 'provenance': [{'title': 'Venus in Fur (film)', 'sent_idx': 0, 'sentence': 'Venus in Fur (French: La Vénus à la fourrure ) is a 2013 French drama film directed by Roman Polanski.'}, {'title': 'Venus in Fur (film)', 'sent_idx': 1, 'sentence': ' It is based on the play of the same name by American playwright David Ives, which itself was inspired by Leopold von Sacher-Masoch\'s novel ""Venus in Furs"".'}, {'title': 'Venus in Furs', 'sent_idx': 0, 'sentence': 'Venus in Furs (German: ""Venus im Pelz"" ) is a novella by the Austrian author Leopold von Sacher-Masoch, and the best known of his works.'}]}","[{'label': 'correct', 'text': ""Roman Polanski's film adaptation of 'Venus in Fur' was inspired by Leopold von Sacher-Masoch's novel 'Venus in Furs', which was published as a novella. The 2013 French drama film is based on the play of the same name, and it's not surprising that this work, considered the best known of Masoch's works, was adapted into a film. This adaptation likely drew from the original novel's themes and elements to create a compelling cinematic experience.""}, {'label': 'incomplete', 'text': ""Roman Polanski's film 'Venus in Fur' is an adaptation of David Ives' play, which was inspired by Leopold von Sacher-Masoch's 'Venus in Furs'. The 2013 film likely drew from the themes and elements of the original novel.""}, {'label': 'incorrect', 'text': ""Leopold von Sacher-Masoch wrote a play called 'Venus in Fur', which was later adapted into a French film by Roman Polanski. The film, released in 2013, is an homage to Masoch's work.""}]","{'model_generate': 'llama3', 'seed': 42}"
5ade8f2d5542992fa25da7c9,hotpotqa-distractor,Ryan Alosio  plays 'Miles Farber' on a series produced by a a Canadian-American actor known for his highly energetic what?,slapstick performances,"{'text': 'Ryan Alosio is an American actor and visual artist who holds citizenship in both Ireland and the U.S.  He currently plays \'Miles Farber\' on the Jim Carrey produced Showtime series, ""I\'m Dying Up Here"", and has portrayed an eclectic mix of characters in stage, film and television productions opposite such actors as Hugh Laurie, Elijah Wood, Jeff Goldblum, Kiefer Sutherland, Judith Light, Gary Sinise, John Hawkes, Patrick Dempsey, and Jason Alexander. James Eugene Carrey ( ; born January 17, 1962) is a Canadian-American actor, comedian, impressionist, screenwriter, and producer.  He is known for his highly energetic slapstick performances.', 'provenance': [{'title': 'Ryan Alosio', 'sent_idx': 0, 'sentence': 'Ryan Alosio is an American actor and visual artist who holds citizenship in both Ireland and the U.S.'}, {'title': 'Ryan Alosio', 'sent_idx': 3, 'sentence': ' He currently plays \'Miles Farber\' on the Jim Carrey produced Showtime series, ""I\'m Dying Up Here"", and has portrayed an eclectic mix of characters in stage, film and television productions opposite such actors as Hugh Laurie, Elijah Wood, Jeff Goldblum, Kiefer Sutherland, Judith Light, Gary Sinise, John Hawkes, Patrick Dempsey, and Jason Alexander.'}, {'title': 'Jim Carrey', 'sent_idx': 0, 'sentence': 'James Eugene Carrey ( ; born January 17, 1962) is a Canadian-American actor, comedian, impressionist, screenwriter, and producer.'}, {'title': 'Jim Carrey', 'sent_idx': 1, 'sentence': ' He is known for his highly energetic slapstick performances.'}]}","[{'label': 'correct', 'text': ""Ryan Alosio plays 'Miles Farber' on a series produced by Jim Carrey, who is known for his highly energetic slapstick performances.""}, {'label': 'incomplete', 'text': ""Ryan Alosio's role in the show is played alongside Jim Carrey, who is famous for his comedic style.""}, {'label': 'incorrect', 'text': 'Jim Carrey is recognized for his dramatic acting skills and not his slapstick performances.'}]","{'model_generate': 'llama3', 'seed': 42}"
5ae533d75542992663a4f15c,hotpotqa-distractor,What country is the movie Waisa Bhi Hota Hai Part II and singer Shibani Kashyap from?,India,"{'text': 'Waisa Bhi Hota Hai Part II (Hindi: वैसा भी होता है , English: It Happens That Way Too ) is a 2003 Indian movie starring Arshad Warsi. Shibani Kashyap is an India singer, who is actively working in Bollywood film industry.', 'provenance': [{'title': 'Waisa Bhi Hota Hai Part II', 'sent_idx': 0, 'sentence': 'Waisa Bhi Hota Hai Part II (Hindi: वैसा भी होता है , English: It Happens That Way Too ) is a 2003 Indian movie starring Arshad Warsi.'}, {'title': 'Shibani Kashyap', 'sent_idx': 0, 'sentence': 'Shibani Kashyap is an India singer, who is actively working in Bollywood film industry.'}]}","[{'label': 'correct', 'text': 'The movie Waisa Bhi Hota Hai Part II and singer Shibani Kashyap are both from India, as they are mentioned in the Bollywood film industry and the country where Arshad Warsi is a star.'}, {'label': 'incomplete', 'text': ""Shibani Kashyap is an Indian singer, which suggests that she's from the same country as the movie Waisa Bhi Hota Hai Part II. This connection implies that both are from India.""}, {'label': 'incorrect', 'text': 'The movie and Shibani Kashyap are likely from Japan because of their unique cultural influence on Bollywood films.'}]","{'model_generate': 'llama3', 'seed': 42}"
5a762c895542992d0ec0604a,hotpotqa-distractor,"Which national park is located in more provinces, Sierra Nevada National Park or Monfragüe?",Sierra Nevada National Park,"{'text': 'It is situated in the center of a triangle formed by Plasencia, Trujillo and the city of Cáceres within the province of Cáceres. The Parque Nacional de Sierra Nevada (known as the Sierra Nevada National Park in English) is a national park located in the provinces of Granada, Almería, and Málaga in Andalusia, Spain.', 'provenance': [{'title': 'Monfragüe', 'sent_idx': 1, 'sentence': ' It is situated in the center of a triangle formed by Plasencia, Trujillo and the city of Cáceres within the province of Cáceres.'}, {'title': 'Sierra Nevada National Park (Spain)', 'sent_idx': 0, 'sentence': 'The Parque Nacional de Sierra Nevada (known as the Sierra Nevada National Park in English) is a national park located in the provinces of Granada, Almería, and Málaga in Andalusia, Spain.'}]}","[{'label': 'correct', 'text': ""The Sierra Nevada National Park is located in three provinces: Granada, Almería, and Málaga, which makes it more extensive than Monfragüe, which is only found within the province of Cáceres. This national park's vast territory allows it to showcase a diverse range of landscapes and ecosystems. Its unique location enables it to host various flora and fauna that thrive in different environments. The park's complex geography also creates a variety of microclimates, further adding to its ecological richness. Overall, the Sierra Nevada National Park is an exemplary example of Spain's natural heritage.""}, {'label': 'incomplete', 'text': ""The Sierra Nevada National Park is located in multiple provinces, which gives it a unique advantage over Monfragüe. The park's diverse landscapes and ecosystems are a result of its vast territory. Its geography allows for different microclimates to develop.""}, {'label': 'incorrect', 'text': 'The Sierra Nevada National Park is the only national park that can be found in more than one province because it has a special status as a UNESCO World Heritage Site, which means it gets extra protection from the government.'}]","{'model_generate': 'llama3', 'seed': 42}"
5a8bef395542995d1e6f146a,hotpotqa-distractor,What football position did Lopes' former boyfriend play?,wide receiver,"{'text': 'The song\'s context had the trio teaching guys who flirt in the club ""the proper way to approach a lady"" with Lopes\' rap verses were said to reference her then-boyfriend American football player Andre Rison, the one whose house Lopes infamously burnt during the making of ""CrazySexyCool"". Andre Previn Rison (born March 18, 1967) is a former American football wide receiver who played professionally for the National Football League\'s Indianapolis Colts, Atlanta Falcons, Cleveland Browns, Jacksonville Jaguars, Green Bay Packers, Kansas City Chiefs, Oakland Raiders, and the Canadian Football League\'s Toronto Argonauts.', 'provenance': [{'title': 'Kick Your Game', 'sent_idx': 3, 'sentence': ' The song\'s context had the trio teaching guys who flirt in the club ""the proper way to approach a lady"" with Lopes\' rap verses were said to reference her then-boyfriend American football player Andre Rison, the one whose house Lopes infamously burnt during the making of ""CrazySexyCool"".'}, {'title': 'Andre Rison', 'sent_idx': 0, 'sentence': ""Andre Previn Rison (born March 18, 1967) is a former American football wide receiver who played professionally for the National Football League's Indianapolis Colts, Atlanta Falcons, Cleveland Browns, Jacksonville Jaguars, Green Bay Packers, Kansas City Chiefs, Oakland Raiders, and the Canadian Football League's Toronto Argonauts.""}]}","[{'label': 'correct', 'text': ""Andre Rison, Lopes' former boyfriend, played as a wide receiver in the National Football League and the Canadian Football League.""}, {'label': 'incomplete', 'text': ""Lopes' former boyfriend, Andre Rison, was a professional football player who played as a wide receiver. He had a career that spanned several teams in the NFL and CFL.""}, {'label': 'incorrect', 'text': ""Andre Rison's football position allowed him to excel on the field, which is why Lopes admired his skills so much.""}]","{'model_generate': 'llama3', 'seed': 42}"
5a8c5107554299653c1aa03a,hotpotqa-distractor,"Call a spade a spade has been used in literary works by what British playwright, novelist, and short story writer who was reportedly the highest-paid author during the 1930s?",William Somerset Maugham,"{'text': 'The idiom has appeared in many literary and popular works, including those of Oscar Wilde, Charles Dickens, W. Somerset Maugham, and Jonathan Swift. William Somerset Maugham CH ( ; 25 January 1874 – 16 December 1965), better known as W. Somerset Maugham, was a British playwright, novelist and short story writer.  He was among the most popular writers of his era and reputedly the highest-paid author during the 1930s.', 'provenance': [{'title': 'Call a spade a spade', 'sent_idx': 2, 'sentence': ' The idiom has appeared in many literary and popular works, including those of Oscar Wilde, Charles Dickens, W. Somerset Maugham, and Jonathan Swift.'}, {'title': 'W. Somerset Maugham', 'sent_idx': 0, 'sentence': 'William Somerset Maugham CH ( ; 25 January 1874 – 16 December 1965), better known as W. Somerset Maugham, was a British playwright, novelist and short story writer.'}, {'title': 'W. Somerset Maugham', 'sent_idx': 1, 'sentence': ' He was among the most popular writers of his era and reputedly the highest-paid author during the 1930s.'}]}","[{'label': 'correct', 'text': ""The idiom 'Call a spade a spade' has been used in literary works by William Somerset Maugham, a British playwright, novelist, and short story writer who was reportedly the highest-paid author during the 1930s. This phrase is often associated with his work, which was widely popular during that era. His writing style and use of language were highly regarded, making him one of the most celebrated authors of his time.""}, {'label': 'incomplete', 'text': ""W. Somerset Maugham, a renowned British writer, used the idiom 'Call a spade a spade' in his literary works. He was known for being the highest-paid author during the 1930s and had a significant impact on the literary world.""}, {'label': 'incorrect', 'text': ""The phrase 'Call a spade a spade' is famously associated with William Shakespeare, not W. Somerset Maugham. Maugham's writing style was heavily influenced by Shakespeare's works, which contributed to his own success as an author.""}]","{'model_generate': 'llama3', 'seed': 42}"
5adbf9d855429947ff173882,hotpotqa-distractor,What is the main focus of both paragraphs?,building construction.,"{'text': 'The original front section is a two story, ""T"" plan, cross gabled Neoclassical style building executed in rusticated concrete block and set on a half raised basement. A concrete masonry unit (CMU) is a standard size rectangular block used in building construction.', 'provenance': [{'title': 'East Springfield Union School', 'sent_idx': 2, 'sentence': ' The original front section is a two story, ""T"" plan, cross gabled Neoclassical style building executed in rusticated concrete block and set on a half raised basement.'}, {'title': 'Concrete masonry unit', 'sent_idx': 0, 'sentence': 'A concrete masonry unit (CMU) is a standard size rectangular block used in building construction.'}]}","[{'label': 'correct', 'text': 'The main focus of both paragraphs is on the description of a specific type of building, specifically its construction and materials used, with an emphasis on the use of concrete block and CMU in building construction.'}, {'label': 'incomplete', 'text': 'Both paragraphs primarily discuss the architectural style and materials used in building construction, highlighting the importance of rusticated concrete block and CMU.'}, {'label': 'incorrect', 'text': ""The main focus is on the historical significance of the building's design, showcasing its unique Neoclassical style and cultural impact.""}]","{'model_generate': 'llama3', 'seed': 42}"
5aba934d554299232ef4a33a,hotpotqa-distractor,"Which league does the team, where Alan McNeill played for in Oldham, compete in?",League One,"{'text': 'Alan A. McNeill (born August 16, 1945 in Belfast, Northern Ireland) is a former professional footballer, who played for Crusaders, Middlesbrough, Huddersfield Town, Oldham Athletic, Stockport County, Witton Albion and Macclesfield Town  The team compete in League One, the third tier of English football, and play home matches at Boundary Park.', 'provenance': [{'title': 'Alan McNeill', 'sent_idx': 0, 'sentence': 'Alan A. McNeill (born August 16, 1945 in Belfast, Northern Ireland) is a former professional footballer, who played for Crusaders, Middlesbrough, Huddersfield Town, Oldham Athletic, Stockport County, Witton Albion and Macclesfield Town'}, {'title': 'Oldham Athletic A.F.C.', 'sent_idx': 1, 'sentence': ' The team compete in League One, the third tier of English football, and play home matches at Boundary Park.'}]}","[{'label': 'correct', 'text': 'Alan McNeill played for Oldham Athletic, which competes in League One. As mentioned, Oldham Athletic plays home matches at Boundary Park, which is a characteristic of teams in the third tier of English football.'}, {'label': 'incomplete', 'text': ""Oldham Athletic, where Alan McNeill played, competes in League One because it's a team that plays in the third tier of English football. This is evident from their home matches being held at Boundary Park.""}, {'label': 'incorrect', 'text': ""Alan McNeill's team, Oldham Athletic, participates in the Premier League since they play their home games at Boundary Park, which is a stadium typical for top-tier teams.""}]","{'model_generate': 'llama3', 'seed': 42}"
5ae12ffa5542997b2ef7d120,hotpotqa-distractor,Can the Circle Be Unbroken is a song that was reworked by what American musician and founding member of The Carter Family?,Alvin Pleasant Delaney Carter,"{'text': '""Can the Circle Be Unbroken (By and By)"" is the title of a country/folk song reworked by A. P. Carter from the hymn ""Will the Circle Be Unbroken? Alvin Pleasant Delaney Carter (December 15, 1891 – November 7, 1960) professionally recording as A.P. Carter, was an American musician and founding member of The Carter Family, one of the most notable acts in the history of country music.', 'provenance': [{'title': 'Can the Circle Be Unbroken (By and By)', 'sent_idx': 0, 'sentence': '""Can the Circle Be Unbroken (By and By)"" is the title of a country/folk song reworked by A. P. Carter from the hymn ""Will the Circle Be Unbroken?'}, {'title': 'A. P. Carter', 'sent_idx': 0, 'sentence': 'Alvin Pleasant Delaney Carter (December 15, 1891 – November 7, 1960) professionally recording as A.P. Carter, was an American musician and founding member of The Carter Family, one of the most notable acts in the history of country music.'}]}","[{'label': 'correct', 'text': ""A.P. Carter reworked 'Can the Circle Be Unbroken' from the hymn 'Will the Circle Be Unbroken', which was a traditional song. As the founding member of The Carter Family, A.P. Carter's version became a country/folk classic. His contributions to the genre were immense, and his legacy continues to be celebrated. Additionally, his unique voice and style helped shape the sound of country music.""}, {'label': 'incomplete', 'text': ""A.P. Carter reworked 'Can the Circle Be Unbroken' from the hymn 'Will the Circle Be Unbroken'. As a founding member of The Carter Family, he was instrumental in shaping the genre. His version became a classic.""}, {'label': 'incorrect', 'text': ""Alvin Pleasant Delaney Carter reworked 'Can the Circle Be Unbroken' because it was his favorite song. He was inspired by its catchy melody and decided to make it his own. His unique voice and style made the song a huge hit.""}]","{'model_generate': 'llama3', 'seed': 42}"
5a875ce15542993e715abf16,hotpotqa-distractor,"Undertow is a steel spinning roller coaster, built by Maurer Söhne, located at which oceanfront amusement park in Santa Cruz, California?",Santa Cruz Beach Boardwalk,"{'text': 'Undertow is a steel spinning roller coaster at Santa Cruz Beach Boardwalk. The Santa Cruz Beach Boardwalk is an oceanfront amusement park in Santa Cruz, California.', 'provenance': [{'title': 'Undertow (roller coaster)', 'sent_idx': 0, 'sentence': 'Undertow is a steel spinning roller coaster at Santa Cruz Beach Boardwalk.'}, {'title': 'Santa Cruz Beach Boardwalk', 'sent_idx': 0, 'sentence': 'The Santa Cruz Beach Boardwalk is an oceanfront amusement park in Santa Cruz, California.'}]}","[{'label': 'correct', 'text': ""Undertow is a steel spinning roller coaster located at Santa Cruz Beach Boardwalk, an oceanfront amusement park in California. This combination of a spinning and steel roller coaster provides a thrilling experience for riders. The location on the beach adds to the excitement, as riders can enjoy the views of the Pacific Ocean while they're screaming with joy. The unique features of this ride make it a must-try attraction at Santa Cruz Beach Boardwalk.""}, {'label': 'incomplete', 'text': ""Undertow is a steel spinning roller coaster that's part of Santa Cruz Beach Boardwalk's oceanfront amusement park in California. Its spinning and steel design creates an exhilarating experience for riders. The beachside location adds to the fun, but that's not all there is to it...""}, {'label': 'incorrect', 'text': 'Undertow is a wooden water slide located at Santa Cruz Beach Boardwalk, which is a popular theme park on the Pacific coast of California.'}]","{'model_generate': 'llama3', 'seed': 42}"
