dataset_id,label,chunk_text,explanation_text,cosine_similarity
5a8138c155429938b6142300,correct,"Nikos Kazantzakis (Greek: Νίκος Καζαντζάκης ] ; 18 February 188326 October 1957) was a Greek writer. Thomas Sigismund Stribling (March 4, 1881 – July 8, 1965) was an American writer and lawyer who published under the name T.S. Stribling.","Thomas Sigismund Stribling, being an American writer and lawyer, had more diverse job experiences compared to Nikos Kazantzakis, who was primarily a Greek writer.",0.8365955352783203
5a8138c155429938b6142300,incomplete,"Nikos Kazantzakis (Greek: Νίκος Καζαντζάκης ] ; 18 February 188326 October 1957) was a Greek writer. Thomas Sigismund Stribling (March 4, 1881 – July 8, 1965) was an American writer and lawyer who published under the name T.S. Stribling.","Stribling's work as a lawyer adds variety to his career, whereas Kazantzakis focused on writing.",0.6448233127593994
5a8138c155429938b6142300,incorrect,"Nikos Kazantzakis (Greek: Νίκος Καζαντζάκης ] ; 18 February 188326 October 1957) was a Greek writer. Thomas Sigismund Stribling (March 4, 1881 – July 8, 1965) was an American writer and lawyer who published under the name T.S. Stribling.",Kazantzakis' experience in the Greek military during World War I gave him more diverse job experiences than Stribling's straightforward writing and law career.,0.539042055606842
5a8353935542996488c2e40f,correct,"Venus in Fur (French: La Vénus à la fourrure ) is a 2013 French drama film directed by Roman Polanski.  It is based on the play of the same name by American playwright David Ives, which itself was inspired by Leopold von Sacher-Masoch's novel ""Venus in Furs"". Venus in Furs (German: ""Venus im Pelz"" ) is a novella by the Austrian author Leopold von Sacher-Masoch, and the best known of his works.","The film adaptation of Leopold von Sacher-Masoch's 'Venus in Furs' was made into a French film in 2013, as evident from the fact that Roman Polanski directed the drama film 'Venus in Fur' that year. This connection is established through the play by David Ives, which was inspired by Masoch's novel. The association between the original novella and its film adaptation further solidifies this conclusion.",0.9169432520866394
5a8353935542996488c2e40f,incomplete,"Venus in Fur (French: La Vénus à la fourrure ) is a 2013 French drama film directed by Roman Polanski.  It is based on the play of the same name by American playwright David Ives, which itself was inspired by Leopold von Sacher-Masoch's novel ""Venus in Furs"". Venus in Furs (German: ""Venus im Pelz"" ) is a novella by the Austrian author Leopold von Sacher-Masoch, and the best known of his works.","The French film 'Venus in Fur' was directed by Roman Polanski in 2013, and it's based on a play that draws inspiration from Leopold von Sacher-Masoch's work. This connection highlights the relevance of Masoch's novel to the film adaptation.",0.859637439250946
5a8353935542996488c2e40f,incorrect,"Venus in Fur (French: La Vénus à la fourrure ) is a 2013 French drama film directed by Roman Polanski.  It is based on the play of the same name by American playwright David Ives, which itself was inspired by Leopold von Sacher-Masoch's novel ""Venus in Furs"". Venus in Furs (German: ""Venus im Pelz"" ) is a novella by the Austrian author Leopold von Sacher-Masoch, and the best known of his works.","Roman Polanski's film 'Venus in Fur' was an artistic expression of Leopold von Sacher-Masoch's unique storytelling style, which has been captivating audiences for centuries.",0.7722172141075134
5ade8f2d5542992fa25da7c9,correct,"Ryan Alosio is an American actor and visual artist who holds citizenship in both Ireland and the U.S.  He currently plays 'Miles Farber' on the Jim Carrey produced Showtime series, ""I'm Dying Up Here"", and has portrayed an eclectic mix of characters in stage, film and television productions opposite such actors as Hugh Laurie, Elijah Wood, Jeff Goldblum, Kiefer Sutherland, Judith Light, Gary Sinise, John Hawkes, Patrick Dempsey, and Jason Alexander. James Eugene Carrey ( ; born January 17, 1962) is a Canadian-American actor, comedian, impressionist, screenwriter, and producer.  He is known for his highly energetic slapstick performances.","Ryan Alosio plays 'Miles Farber' on a series produced by Jim Carrey, who is known for his highly energetic slapstick performances.",0.740060031414032
5ade8f2d5542992fa25da7c9,incomplete,"Ryan Alosio is an American actor and visual artist who holds citizenship in both Ireland and the U.S.  He currently plays 'Miles Farber' on the Jim Carrey produced Showtime series, ""I'm Dying Up Here"", and has portrayed an eclectic mix of characters in stage, film and television productions opposite such actors as Hugh Laurie, Elijah Wood, Jeff Goldblum, Kiefer Sutherland, Judith Light, Gary Sinise, John Hawkes, Patrick Dempsey, and Jason Alexander. James Eugene Carrey ( ; born January 17, 1962) is a Canadian-American actor, comedian, impressionist, screenwriter, and producer.  He is known for his highly energetic slapstick performances.",Ryan Alosio's character Miles Farber is part of a show produced by a Canadian-American actor famous for his slapstick style.,0.6400482654571533
5ade8f2d5542992fa25da7c9,incorrect,"Ryan Alosio is an American actor and visual artist who holds citizenship in both Ireland and the U.S.  He currently plays 'Miles Farber' on the Jim Carrey produced Showtime series, ""I'm Dying Up Here"", and has portrayed an eclectic mix of characters in stage, film and television productions opposite such actors as Hugh Laurie, Elijah Wood, Jeff Goldblum, Kiefer Sutherland, Judith Light, Gary Sinise, John Hawkes, Patrick Dempsey, and Jason Alexander. James Eugene Carrey ( ; born January 17, 1962) is a Canadian-American actor, comedian, impressionist, screenwriter, and producer.  He is known for his highly energetic slapstick performances.",Ryan Alosio plays 'Miles Farber' on a series produced by a Canadian-American actor known for his dramatic acting skills.,0.6941307187080383
5ae533d75542992663a4f15c,correct,"Waisa Bhi Hota Hai Part II (Hindi: वैसा भी होता है , English: It Happens That Way Too ) is a 2003 Indian movie starring Arshad Warsi. Shibani Kashyap is an India singer, who is actively working in Bollywood film industry.","The movie Waisa Bhi Hota Hai Part II and singer Shibani Kashyap are both from India, as indicated by the film's Hindi title and the fact that Shibani is an Indian singer actively working in Bollywood.",0.8692731857299805
5ae533d75542992663a4f15c,incomplete,"Waisa Bhi Hota Hai Part II (Hindi: वैसा भी होता है , English: It Happens That Way Too ) is a 2003 Indian movie starring Arshad Warsi. Shibani Kashyap is an India singer, who is actively working in Bollywood film industry.","The movie Waisa Bhi Hota Hai Part II and singer Shibani Kashyap are both from a country where Bollywood is prominent, which is India, home to many famous films and musicians like Arshad Warsi and Shibani Kashyap.",0.9032198190689087
5ae533d75542992663a4f15c,incorrect,"Waisa Bhi Hota Hai Part II (Hindi: वैसा भी होता है , English: It Happens That Way Too ) is a 2003 Indian movie starring Arshad Warsi. Shibani Kashyap is an India singer, who is actively working in Bollywood film industry.","The movie Waisa Bhi Hota Hai Part II and singer Shibani Kashyap are from Japan, where the film's unique blend of Indian culture and music has gained popularity.",0.8278006911277771
5a762c895542992d0ec0604a,correct,"It is situated in the center of a triangle formed by Plasencia, Trujillo and the city of Cáceres within the province of Cáceres. The Parque Nacional de Sierra Nevada (known as the Sierra Nevada National Park in English) is a national park located in the provinces of Granada, Almería, and Málaga in Andalusia, Spain.","The Sierra Nevada National Park is located in more provinces because it spans across three provinces: Granada, Almería, and Málaga, whereas Monfragüe is situated within a single province. This larger geographic range allows the park to cover a broader area of Andalusia, Spain.",0.7494105696678162
5a762c895542992d0ec0604a,incomplete,"It is situated in the center of a triangle formed by Plasencia, Trujillo and the city of Cáceres within the province of Cáceres. The Parque Nacional de Sierra Nevada (known as the Sierra Nevada National Park in English) is a national park located in the provinces of Granada, Almería, and Málaga in Andalusia, Spain.","The Sierra Nevada National Park is located in more provinces because it covers parts of three regions: Granada, Almería, and Málaga. This means it has a bigger presence than Monfragüe, which only spans one province.",0.7322160601615906
5a762c895542992d0ec0604a,incorrect,"It is situated in the center of a triangle formed by Plasencia, Trujillo and the city of Cáceres within the province of Cáceres. The Parque Nacional de Sierra Nevada (known as the Sierra Nevada National Park in English) is a national park located in the provinces of Granada, Almería, and Málaga in Andalusia, Spain.","Sierra Nevada National Park is the largest national park in Spain, covering an enormous area that includes multiple cities, so it's no surprise it's located in more provinces.",0.74982088804245
5a8bef395542995d1e6f146a,correct,"The song's context had the trio teaching guys who flirt in the club ""the proper way to approach a lady"" with Lopes' rap verses were said to reference her then-boyfriend American football player Andre Rison, the one whose house Lopes infamously burnt during the making of ""CrazySexyCool"". Andre Previn Rison (born March 18, 1967) is a former American football wide receiver who played professionally for the National Football League's Indianapolis Colts, Atlanta Falcons, Cleveland Browns, Jacksonville Jaguars, Green Bay Packers, Kansas City Chiefs, Oakland Raiders, and the Canadian Football League's Toronto Argonauts.","Andre Rison played the position of wide receiver in American football, which is confirmed by his professional career and bio. This information is relevant to Lopes' former boyfriend, as she referenced him in her rap verses. As a result, it's likely that he played this position.",0.7209518551826477
5a8bef395542995d1e6f146a,incomplete,"The song's context had the trio teaching guys who flirt in the club ""the proper way to approach a lady"" with Lopes' rap verses were said to reference her then-boyfriend American football player Andre Rison, the one whose house Lopes infamously burnt during the making of ""CrazySexyCool"". Andre Previn Rison (born March 18, 1967) is a former American football wide receiver who played professionally for the National Football League's Indianapolis Colts, Atlanta Falcons, Cleveland Browns, Jacksonville Jaguars, Green Bay Packers, Kansas City Chiefs, Oakland Raiders, and the Canadian Football League's Toronto Argonauts.","Andre Rison was an American football player who played professionally for several teams. He played the wide receiver position, which fits with Lopes' reference to her then-boyfriend in her rap verses.",0.754105806350708
5a8bef395542995d1e6f146a,incorrect,"The song's context had the trio teaching guys who flirt in the club ""the proper way to approach a lady"" with Lopes' rap verses were said to reference her then-boyfriend American football player Andre Rison, the one whose house Lopes infamously burnt during the making of ""CrazySexyCool"". Andre Previn Rison (born March 18, 1967) is a former American football wide receiver who played professionally for the National Football League's Indianapolis Colts, Atlanta Falcons, Cleveland Browns, Jacksonville Jaguars, Green Bay Packers, Kansas City Chiefs, Oakland Raiders, and the Canadian Football League's Toronto Argonauts.",Andre Rison was a professional basketball player who played point guard for the Chicago Bulls. His athletic background likely influenced his relationship with Lopes.,0.5648520588874817
